級,四字熟語,読み,意味
5級,一望千里,いちぼうせんり,広い範囲を遠くまで見渡すことができること。または、広々としていて遠くまで見通せる美しい景色のたとえ。「一望」は景色などで、一度に全体を見ることができること。「千里」の「里」は距離の単位で、「千里」は非常に遠いことのたとえ。一度に千里先まで見渡すことが出来るという意味から。
5級,一木一草,いちぼくいっそう,一本の木から一本の草まで全てという意味から、その場にあるすべてのもののこと。または、わずか一本の木と一本の草という意味から、極めて少ないもののこと。「一木」は一本の木のこと。 「一草」は一本の草のこと。「一草一木」ともいう。
5級,一枚看板,いちまいかんばん,一座を代表する役者のこと。 または、多くの人の中心人物となる人のこと。また、一着しかない衣服のこと。歌舞伎で演目や役者名、絵姿を一枚の看板に描いて劇場の前に掲げていて、その看板に名前が載るほどの役者ということから。
5級,一味徒党,いちみととう,同じ志や目的のために集まること。また、その仲間のこと。「一味」は同じ目的をもつ同志、仲間のこと。「徒党」も仲間を表すが、多くは悪い仲間のことをいう。
5級,一味同心,いちみどうしん,同じ目的をもって結束すること。または、同じ目的をもち集まり、心を一つにした同志、仲間のこと。「一味」は同じ目的をもつ同志、仲間のこと。「同心」は志を同じくすること。
5級,一目十行,いちもくじゅうぎょう,文章などを読むのが速いことのたとえ。一目見ただけで、十行の文章を読むことができるということから。梁の簡文帝は幼少期より理解力が人並み以上であり、読書の際には一度に十行ずつ読んだという故事から。
5級,一問一答,いちもんいっとう,一つの質問、設問に対して一つの解答をすること。また、その形式のこと。
5級,一文半銭,いちもんはんせん,"ごくわずかな金銭のこと。 「文」と「銭」はともに昔の通貨の単位。一文銭の直径が一寸（ひとき）であることから、半銭を\""きなか\""とも読む。"
5級,一文不通,いちもんふつう,読み書きができないこと。 「文」は文字の意。一文字ですら意味が通じていないことから。
5級,一夜十起,いちやじっき,人は多かれ少なかれ私心や私情に左右され、私心を全て捨てさることは難しいということ。「一夜（いちや）に十（と）たび起（お）く」とも読む。
5級,一遊一予,いちゆういちよ,"遊び楽しむこと。 「一」は\""あるときは\""の意味。「遊」と「予」はともに遊び楽しむという意味。王が楽しみを兼ねて民の生活を視察していたということから。"
5級,一葉知秋,いちようちしゅう,わずかな前兆や現象から、物事の本質や変化、衰退などを察知すること。「一葉」は一枚の葉のこと。 「知秋」は秋がきたことを知る意。一枚の葉が落ちるのを見て、秋の訪れを察知するということから。
5級,一陽来復,いちようらいふく,悪い傾向にあった物事がよい傾向に向かうこと。または、冬が終わって春が来ること。または、冬至のこと。「一陽」は冬から春になる兆しのこと。 「来復」は再びやってくること。もとは易経の言葉で、陰と陽の二つを組合せたものからなる六十四卦で、陰暦十月は陰だけで構成され、冬至から陽が一つ含まれるようになるということから。陽が復する（戻ってくる）のは冬至からであることから。
5級,一利一害,いちりいちがい,利益がある一方で害もあること。 良い点と悪い点の両方があること。新たな利益を求めるよりも、今みられる害悪を取り除く方がよいという教え。
5級,一路順風,いちろじゅんぷう,ものごとが順調に進むこと。 または、旅に出る人の安全を祈ることば。「一路」はひたすらの意味。 「順風」は追い風のこと。船の航行が順調ということから。
5級,一路平安,いちろへいあん,旅立つ人の道中の安全を祈る言葉。 「一路」は旅の道中のこと。「平安」は無事で穏やかなこと。「平安一路」ともいう。
5級,一挙一動,いっきょいちどう,"日常のちょっとした動作や立ち居振る舞いのこと。または、一つ一つの動作のこと。「一」は""ちょっとした""や""一つ一つ""という意味。普段の動作を意味する「挙動」という言葉を「挙」と「動」に分け、「一」をそれぞれに付けて意味を強調した言葉。"
5級,一挙両失,いっきょりょうしつ,一つの行動がもとで、同時に他のことまでも駄目になってしまうこと。「一挙」は一つの動作、行動のこと。
5級,一挙両得,いっきょりょうとく,一つの行動によって、二つの利益を得ること。 「一挙」は一つの動作や行動。「両得」は二つの利益を得ること。
5級,一件落着,いっけんらくちゃく,問題となっていた物事や事件が解決し、決着がつくこと。「一件」は一つの物事や事件のこと。「落着」は物事の決まりが着くこと。
5級,一刻千金,いっこくせんきん,ほんのわずかな時間が千金にも値するということ。「一刻」の「刻」は時間の単位のことで、わずかな時間のたとえ。「千金」は多額の金銭のことから、価値があるもののたとえ。楽しい時間や季節などがあっという間に過ぎ去っていくことを惜しんでいう言葉。また、少しの時間でも大切にするべきだという戒め。出典は「春宵一刻値千金」という言葉で、春の夜は素晴らしく非常に価値があるという意味。「千金一刻」ともいう。
5級,一死七生,いっししちしょう,天上界で一度死ぬと、人間界で七たび生まれ変わるということ。仏教用語。
5級,一子相伝,いっしそうでん,学問や技芸などの奥義を子孫の一人、または、弟子の一人だけに伝授し、他の者には決して漏らさないこと。「相伝」は物事を代々伝えていくこと。
5級,一視同仁,いっしどうじん,差別することなく、全ての人を平等に慈しむこと。「一視」は一つのものとして見ること。 「仁」は愛するという意味。「同仁」は全てのものを同じように愛するという意味。「同仁一視」ともいう。
5級,一紙半銭,いっしはんせん,ごくわずかなことのたとえ。 「一紙」は一枚の紙のこと。「半銭」は半文の銭のこと。仏教用語では、寄進の金額が少ないことをいう。
5級,一死報国,いっしほうこく,命をかけて国の恩に報いること。 「一死」は死ぬことを強めた言い方。「報国」は国から受けた恩に報いること。
5級,一宿一飯,いっしゅくいっぱん,ちょっとした世話になること。 「一宿」は一泊させてもらうこと。「一飯」は一回の食事をご馳走になること。「一宿一飯の恩義」という形で、ちょっとした恩義でも決して忘れてはならないという戒めの言葉として用いられる。昔の博徒は、少しでも他人の世話になったならば、それを一生の恩義としていたことからきた言葉。
5級,一進一退,いっしんいったい,進んだり退いたりすること。または、物事の状況が良くなったり、悪くなったりすること。「一進」はときには進むこと。「一退」はときには退くこと。
5級,一心同体,いっしんどうたい,複数の人が心を一つにして、まるで一人の人であるかのように固く結びつくこと。「一心」は複数の人が心を一つにすること。「同体」は一つの体のようになること。夫婦の愛情や友人との信頼などのことをいう言葉。
5級,一心不乱,いっしんふらん,他のことに心を奪われることなく、一つのことに集中すること。または、余所見をすることなく、ひたすら努力すること。「一心」は心を一つにして集中すること。 「不乱」は乱さないこと。元は仏教の語。
5級,一世一代,いっせいちだい,人が生まれて死ぬまでの間にたった一度だけのこと。「一世」と「一代」はどちらも人が生きている間という意味。元は歌舞伎の役者などが引退する最後の舞台で一番得意な芸を演じることをいった言葉。
5級,一石二鳥,いっせきにちょう,一度の行動で二つの利益を得ること。または、一度の行動で、同時に二つの目的を達成すること。「一石」は一つの石を投げること。 「二鳥」は二羽の鳥を捕まえること。一つの石を投げて、二羽の鳥を同時に捕まえるという意味から。英語のことわざを日本語に訳した言葉。
5級,一体分身,いったいぶんしん,一つのものが複数のものに分かれること。仏教の言葉で、世の人々を救うために、仏が様々な姿をかりて現れること。
5級,一短一長,いったんいっちょう,人や物には、長所もあれば短所もあるということ。また、得意なことと苦手なことがあり、完全ではないということ。「長」は長所、得意なこと。「短」は短所、苦手なこと。「一」は「～もあれば～もある」という意味で、「一長一短」の場合は「長所もあれば短所もある」という意味になる。「一短一長」ともいう。
5級,一治一乱,いっちいちらん,世の中が治まったり乱れたりと繰り返し変化する様子。「一」は「あるときは～、あるときは～」という意味で、「一治一乱」の場合、あるときは平和に治まったり、あるときは戦乱によって乱れるという意味になる。
5級,一知半解,いっちはんかい,知ってはいるが、完璧には理解していないこと。「一知」は一つのことを知っていること。「半解」は半分だけ理解していること。
5級,一長一短,いっちょういったん,人や物には、長所もあれば短所もあるということ。また、得意なことと苦手なことがあり、完全ではないということ。「長」は長所、得意なこと。「短」は短所、苦手なこと。「一」は「～もあれば～もある」という意味で、「一長一短」の場合は「長所もあれば短所もある」という意味になる。「一短一長」ともいう。
5級,一点一画,いってんいっかく,文字の一つの点、一つの筆画、主に漢字についていう。または、文字の一つ一つの細かいところに気をつけて、丁寧に書くこと。「一措一画」ともいう。
5級,一天四海,いってんしかい,全世界。 「一天」は天の下全てということから、全世界のこと。「四海」は四方向全ての海ということから、全世界のこと。
5級,一刀両断,いっとうりょうだん,ためらうことなく、物事をすぐさま決断すること。または、思い切りよく、物事の始末をつけること。「一刀」は刀を一度振り下ろすこと。 「両断」は二つに切断すること。刀を一度振り下ろし、真っ二つに切断するという意味から。「一刀両段」とも書く。
5級,一得一失,いっとくいっしつ,利益を一つ得ると、別の部分では一つ損失があること。利益と損失の両方がともにあるということから。「一失一得」ともいう。
5級,一徳一心,いっとくいっしん,目的や利益が同じ者同士が心を一つにして事にあたること。または、君主と臣下が心を合わせ団結して物事を行うこと。「徳を一（いつ）にし心（こころ）を一（いつ）にす」とも読む。「一心一徳」ともいう。
5級,一飯千金,いっぱんせんきん,ほんの少しの恩義でも決して忘れず、手厚いお返しをすること。一度の食事には千金もの価値があるという意味から。受けた恩義がどれほど小さくても、それを忘れてはいけないという戒めの言葉。中国の漢の時代の韓信は貧しく、老婆にしばらくの間食事を恵んでもらい、その後、出世して楚の王となり、その老婆を呼び千金を与えたという故事から。
5級,以毒制毒,いどくせいどく,悪を滅するために、他の悪を使うこと。毒を治療するために、別の毒を使うという意味から。「毒を以て毒を制す」という形で使うことの多い言葉。
5級,意味深長,いみしんちょう,言動や詩文などに深い趣や意味が込められていること。または、表に出ている意味とは別の意味が隠されていること。「深長」は奥深くに意味が隠されていること。「意味深」という形で略して使うこともある。
5級,異類中行,いるいちゅうぎょう,多く人々を救済するために、仏や菩薩がこの世に身を置くこと。または、禅宗では指導者が修行者を導くために、様々な方法を取ること。「異類」は違う種類という意味。仏が異類の中を行くという意味から。
5級,異路同帰,いろどうき,やり方が違っていても結果は同じになるということのたとえ。違う道を通っていても、同じ場所に到着するという意味から。「路（みち）を異（こと）にして帰りを同じうす」とも読む。
5級,飲河満腹,いんかまんぷく,自分の身の丈に合った欲望で満足するべきであるということ。中国古代の伝説の聖天子尭帝が、許由に天下を譲ろうとすると、動物のもぐらは大きな黄河の水を飲んでも、満腹になればそれ以上は飲まないといって断ったという故事から。「偃鼠河に飲むも満腹に過ぎず」を略した言葉。
5級,因果応報,いんがおうほう,よい行いには必ずよい報いがあり、悪い行いには必ず悪い報いがあるということ。「因果」は原因と結果。 「応報」は善悪に応じた報いがあること。元は仏教語で、過去や前世の行いの善悪に応じた報いがあるという意味。現在では、悪い行いの報いの意味で使われることが多い言葉。
5級,因機説法,いんきせっぽう,相手の能力や、その場の状況に合わせて仏の教えを説くこと。仏教の言葉で、「機に因（よ）りて法を説く」とも読む。
5級,因小失大,いんしょうしつだい,目先の小さな利益を得ようとして、大きな損失を出すこと。または、小さなことをいい加減にしたせいで、大きな失敗をすること。「小に因（よ）りて大を失う」とも読む。
5級,印象批評,いんしょうひひょう,客観的な基準ではなく、個人的な印象や感動を基準にして芸術作品の批評をすること。フランスの文芸批評の手法で、十九世紀後半に生まれた。
5級,飲水思源,いんすいしげん,物事の基本を忘れずに大切にするべきという戒め。または、受けた恩を忘れてはいけないという戒め。水を飲むときに、水源のことを思うという意味から。「水を飲むときは井戸を掘った人のことを忘れるな」という中国のことわざから。「水を飲みて源（みなもと）を思う」とも読む。
5級,右往左往,うおうさおう,多くの人々があっちへ行ったり、こっちへ行ったりして混乱すること。慌てていて、秩序無く入り乱れている様子をいう。「左往右往」ともいう。
5級,雨過天晴,うかてんせい,物事の悪い状況や状態がよい方向へ向かうこと。雨が止み、雲がなくなり晴れ渡るという意味から。「雨過ぎて天晴（は）る」とも読む。「雨過天青」とも書く。
5級,海千山千,うみせんやません,物事の裏も表も知り尽くすほど様々な経験をしたことで、悪い知恵が働くようになること。または、そのようなずる賢い人のこと。海に千年、山に千年住んだ蛇は竜になるという伝説から。
5級,雲心月性,うんしんげっせい,清らかな心があり、地位や利益にこだわらないこと。人の心や性質を清らかな月と雲にたとえた言葉。
5級,永字八法,えいじはっぽう,書の教えで「永」の一字に筆法の全てが含まれていること。「八法」は書の八つの運筆のこと。
5級,益者三友,えきしゃさんゆう,自分にとって有益な三種の友人のこと。 「益者」は自分に利益をもたらす人。「三友」は三種の友人。正直な人・誠実な人・博識な人のこと。
5級,得手勝手,えてかって,他人のことは考えず、自分の都合ばかりを考えて好き勝手に行動すること。
5級,円首方足,えんしゅほうそく,人間のこと。 「円頭」は丸い頭。 「方足」は四角い足。古代中国では、頭は天を、足は大地をかたどっており、人と天地は似ている存在と考えられていたことから。「円首方足」「円顱方趾（円顱方址）」「方趾円顱（方址円顱）」ともいう。
5級,遠水近火,えんすいきんか,遠い場所にあるものは、差し迫った場面では役に立たないということ。近所が火事になると、遠い場所にある水場から水を持ってきても間に合わないという意味から。「遠水は近火を救わず」を略した言葉。
5級,円頂黒衣,えんちょうこくい,僧侶の姿のこと。 「円頂」は髪を剃って丸めた頭。「黒衣」は墨で染めた僧侶の服、僧衣。
5級,円頭方足,えんとうほうそく,人間のこと。 「円頭」は丸い頭。 「方足」は四角い足。古代中国では、頭は天を、足は大地をかたどっており、人と天地は似ている存在と考えられていたことから。「円首方足」「円顱方趾（円顱方址）」「方趾円顱（方址円顱）」ともいう。
5級,円満具足,えんまんぐそく,何一つ欠けることなく、満ち足りていること。「円満」と「具足」はどちらも不足することなく、十分に備わっているという意味で、同じ意味の言葉を重ねて強調した言葉。
5級,延命息災,えんめいそくさい,災いに遭わないようにして、寿命を延ばすこと。「息災」は災いをなくすこと。日々を何事もなく平穏に過ごせることを仏や神に祈る言葉。「息災延命」ともいう。
5級,応機接物,おうきせつもつ,相手に応じて、適切なやり方で教育、指導すること。仏教の言葉で、「機（き）に応じ物（もの）に接す」とも読む。
5級,往古来今,おうこらいこん,昔から今になるまで、またはその時間の流れ。「往古」は過ぎ去った時のこと。「来今」は今から後のこと。
5級,王道楽土,おうどうらくど,「王道」は徳をもって公平で無私の政治で、王が行うべき道、「楽土」は安楽の土地のことで、徳があり、公平な政治が行われている楽しくて平和な国のこと。
5級,温故知新,おんこちしん,以前に学習したことや昔の事柄を今一度よく考察して、そこから新たな道理や知識を得ること。「故（ふる）きを温（たず）ねて新（あたら）しきを知（し）る」「故（ふる）きを温（あたた）めて新（あたら）しきを知（し）る」とも読む。
5級,音信不通,おんしんふつう,連絡が途絶えて、状況や事情がわからないこと。「音信」は手紙や電話などの連絡や来訪などの交流のこと。「不通」は途切れるという意味。
5級,解衣推食,かいいすいしょく,人に恩を施すことや人を重用すること。「解衣」は着ている衣を解き与えること。「推食」は自分の食べ物を推して食べさせること。「衣（い）を解き、食（しょく）を推す」とも読む。
5級,改過自新,かいかじしん,自分の過ちを認め改めて、心をいれかえ再出発すること。「改過」は自分の過ちを改めること。 「自新」は気分を新しくすること。「過ちを改め自ら新たにす」とも読む。
5級,開巻有益,かいかんゆうえき,読書は得るものがあり、ためになるということ。「開巻」は書物を開くという意味。「巻（かん）を開けば益（えき）有り」とも読む。
5級,開心見誠,かいしんけんせい,「心を開いて誠を見す」とも読み、隠し事をせず誠意をもって相手と接すること。「開心」は心を開くという意味から隠し事をしないという意味。「見誠」は誠意を見せること。
5級,下意上達,かいじょうたつ,地位や立場が下の者の意見が、上の人にしっかりと理解されること。「下意」は地位や立場が下の人の意見や考え。「上達」は地位や立場が上の人に届くこと。
5級,回生起死,かいせいきし,どうすることもできないような危機的状況を一気に好転させること。「起死」と「回生」はどちらも死に瀕している人を生き返らせるという意味。もとは、医術の高さを表現するときに用いられていた言葉。「回生起死」ともいう。
5級,回天事業,かいてんじぎょう,世の中の情勢が全て変わるほどの大きな仕事。「回天」は天を回すという意味から、世の中の情勢が変わること。「廻天事業」とも書く。
5級,開物成務,かいぶつせいむ,物を開発して、事業や職務を望んだとおりに完成させること。または、人々の知識を開発して、世の中がうまくいくように導くこと。易経の目的を言い表す言葉で、全てのものの能力を完全に引き出して、本来の役目を果たせるようにすることをいう。「物を開き務めを成す」とも読み、この言葉を略して「開成」ともいう。
5級,夏下冬上,かかとうじょう,炭に火をおこす上手い方法のこと。種火は夏には炭の下に置き、冬には上に置くとよいということ。
5級,下学上達,かがくじょうたつ,始めに簡単で身近にあることを学び、少しずつ難しいことを学んでいくこと。または、簡単なことから始めて、次第に上手くなっていくこと。「下学」はごく普通にある簡単なことを学ぶこと。「下学（かがく）して上達す」とも読む。
5級,家給人足,かきゅうじんそく,安定していて豊かな生活のこと。「給」と「足」はどちらも満ち足りているという意味。全ての家や人に衣食が行き渡っていて、全ての人が生活に不自由しないという意味から。「家（いえ）ごとに給（きゅう）し人ごとに足る」とも読む。
5級,科挙圧巻,かきょあっかん,非常にすぐれたもののこと。または、作品の中で一番すぐれている部分のこと。または、試験で一番すぐれた成績を出すこと。「科挙」は古代中国で行われていた官吏の登用試験のこと。「圧巻」の「巻」は試験の答案用紙のことで、一番すぐれた答案用紙が他の答案用紙の一番上に置かれ、他を圧していたということから、そのものの中でも最もすぐれている部分のことをいう。
5級,夏虫疑氷,かちゅうぎひょう,見識が狭いことのたとえ。世間のことを知らない人が、自分の知っていること以外のことを信じようとしないことをいう言葉。夏の季節しか生きることのできない虫は、冬に氷があるということを信じようとしないことから。「夏虫（かちゅう）氷を疑う」とも読む。「夏虫疑冰」とも書く。
5級,花鳥風月,かちょうふうげつ,季節によって変わる美しい自然の風景。または、そのような自然の風景を題材にして、書画や詩歌を作って楽しむこと。「花鳥」は花と鳥、「風月」は風と月のこと。代表的な自然の風物を並べた言葉。
5級,活殺自在,かっさつじざい,他人を自分の好きなように使うこと。 「活殺」は生かすことと殺すこと。「自在」は望み通りに出来ること。生かすも殺すも思い通りに出来るという意味から。
5級,観感興起,かんかんこうき,実際に目で見て、それに感動して奮い立つこと。「観」は目で見ること。
5級,官官接待,かんかんせったい,地方の公務員が公費を使って、中央の公務員を接待すること。「官官」は公務員同士という意味。地方の公務員が中央の役人を接待して、予算の便宜を図ってもらうことをいう。
5級,完全無欠,かんぜんむけつ,足りない部分や短所などが全くないこと。「完全」と「無欠」はどちらも不足や弱点が全くないという意味。同じ意味の言葉を重ねて強調したもの。
5級,感奮興起,かんぷんこうき,物事に強く感動して奮い立つこと。 「感奮」は感動して奮い立つこと。「興起」は気構えが奮い立つこと。
5級,外交辞令,がいこうじれい,相手によく思われるために、口先だけのお世辞や形だけの愛想をよくすること。「外交」は外部との付き合いや交渉のこと。「辞令」は応対の言葉や挨拶のこと。
5級,学知利行,がくちりこう,人としての道を学んで理解し、学んだことの正しさを考えて実際に行うこと。「学知」は学んで知ること。 「利行」は正しいと認めて実行すること。人としての道を学んで実践するための三つの過程の二番目のこと。
5級,眼光紙背,がんこうしはい,読解力が極めて優れていることのたとえ。「眼光」は眼の光のこと。転じて、物事を見通す力。「紙背」は文章などが書かれた紙の裏のこと。眼の光が鋭く、紙の裏まで貫くという意味から。「眼光紙背に徹す」を略した言葉。
5級,眼高手低,がんこうしゅてい,目標は高いが実力が足りないこと。または、批評するのは上手いが、実際に自分で行う能力がないこと。「眼高」は価値や本質など見抜く能力が高いこと。「手低」は実力や技術力が低いこと。
5級,顔常山舌,がんじょうざんのした,辛い処罰を受けても、君主や国への忠義を貫き通すこと。「顔常山」は顔杲卿という人物のこと。中国の唐の顔杲卿は、反乱軍の安禄山に捕らえられても、唐への忠義を曲げず、安禄山を罵倒したため舌を切られるという処罰を受けたが、それでもなお罵倒を続けたという故事から。
5級,危急存亡,ききゅうそんぼう,危険が迫っていて、生死の瀬戸際で危機的な状況のこと。「危急」は危険が迫る、「存亡」は生きるか死ぬかという意味。
5級,危言危行,きげんきこう,言葉と行動を清く正しくすること。 または、言葉と行動を厳格にすること。「危」は厳しく公正にすることや品格を高くすること。
